experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
test,r1,705.4887908516736,1764851664.467769,1764851664.5166392,1764851664.547,1764851664.557753,04-12-2025T13:34:24
test,r1,723.4908410607221,1764851669.4560368,1764851669.506053,1764851669.55,1764851669.5606408,04-12-2025T13:34:29
test,r1,726.1663817153141,1764851674.4773493,1764851674.5224977,1764851674.553,1764851674.5640235,04-12-2025T13:34:34
test,r1,726.2506270236379,1764851679.4746091,1764851679.5388196,1764851679.557,1764851679.5681608,04-12-2025T13:34:39
test,r1,726.2126682978673,1764851684.4773502,1764851684.5396843,1764851684.56,1764851684.5719185,04-12-2025T13:34:44
test,r1,726.2981355900657,1764851689.4398365,1764851689.510156,1764851689.563,1764851689.5740683,04-12-2025T13:34:49
test,r1,726.0895608369627,1764851694.500063,1764851694.5548558,1764851694.566,1764851694.577604,04-12-2025T13:34:54
test,r1,726.44405647471,1764851699.5073931,1764851699.5713954,1764851699.669,1764851699.680207,04-12-2025T13:34:59
test,r1,726.0194305998094,1764851704.5038393,1764851704.5555265,1764851704.572,1764851704.58312,04-12-2025T13:35:04
test,r1,726.2196012631258,1764851709.5051937,1764851709.585682,1764851709.675,1764851709.6868265,04-12-2025T13:35:09
test,r1,726.1896931346878,1764851714.4802055,1764851714.5401585,1764851714.578,1764851714.588623,04-12-2025T13:35:14
test,r1,726.2699076837291,1764851719.4798543,1764851719.539505,1764851719.582,1764851719.5926518,04-12-2025T13:35:19
test,r1,725.8082584455772,1764851724.510321,1764851724.555869,1764851724.586,1764851724.5964737,04-12-2025T13:35:24
test,r1,724.0364834137206,1764851729.504847,1764851729.5504615,1764851729.589,1764851729.6000562,04-12-2025T13:35:29
test,r1,724.0689170695304,1764851734.491043,1764851734.538414,1764851734.592,1764851734.604088,04-12-2025T13:35:34
test,r1,723.9737491112356,1764851739.5260377,1764851739.5878484,1764851739.595,1764851739.6072323,04-12-2025T13:35:39
test,r1,723.999991843456,1764851744.536689,1764851744.5988152,1764851744.699,1764851744.7090275,04-12-2025T13:35:44
test,r1,724.1839875342499,1764851749.481267,1764851749.5298498,1764851749.602,1764851749.6140368,04-12-2025T13:35:49
test,r1,723.9140862925651,1764851754.5332632,1764851754.5786734,1764851754.605,1764851754.616984,04-12-2025T13:35:54
test,r1,724.06088994481,1764851759.5210154,1764851759.566099,1764851759.583,1764851759.5941615,04-12-2025T13:35:59
test,r1,724.1876000114581,1764851764.4656656,1764851764.5227704,1764851764.586,1764851764.5976262,04-12-2025T13:36:04
test,r1,723.8404618978401,1764851769.5454617,1764851769.6165304,1764851769.691,1764851769.7021575,04-12-2025T13:36:09
test,r1,724.2444616693625,1764851774.5002232,1764851774.572317,1764851774.596,1764851774.6063535,04-12-2025T13:36:14
test,r1,723.8471659717243,1764851779.5476446,1764851779.5968115,1764851779.6,1764851779.6115534,04-12-2025T13:36:19
test,r1,723.8600963537419,1764851784.4734676,1764851784.5187798,1764851784.605,1764851784.6153846,04-12-2025T13:36:24
test,r1,721.622940274136,1764851789.5537086,1764851789.6015108,1764851789.61,1764851789.6213715,04-12-2025T13:36:29
test,r1,721.2956298936106,1764851794.5211484,1764851794.5687444,1764851794.614,1764851794.6249778,04-12-2025T13:36:34
test,r1,721.4565804765184,1764851799.523603,1764851799.5846028,1764851799.619,1764851799.6307912,04-12-2025T13:36:39
test,r1,721.5168292579092,1764851804.5410972,1764851804.603726,1764851804.624,1764851804.63554,04-12-2025T13:36:44
test,r1,721.7896842487036,1764851809.5475004,1764851809.5933568,1764851809.629,1764851809.639944,04-12-2025T13:36:49
test,r1,721.4661498904787,1764851814.5311794,1764851814.577244,1764851814.633,1764851814.6438258,04-12-2025T13:36:54
test,r1,720.2613227513351,1764851819.9167304,1764851819.9610317,1764851820.039,1764851820.051747,04-12-2025T13:36:59
test,r1,722.8143887734293,1764851824.549019,1764851824.6157696,1764851824.643,1764851824.6542182,04-12-2025T13:37:04
test,r1,721.196700654089,1764851829.5686958,1764851829.63042,1764851829.649,1764851829.6600978,04-12-2025T13:37:09
test,r1,721.6421548817261,1764851834.5199635,1764851834.5852897,1764851834.653,1764851834.6653135,04-12-2025T13:37:14
test,r1,721.3928435246685,1764851839.5727146,1764851839.6312518,1764851839.659,1764851839.6699257,04-12-2025T13:37:19
test,r1,721.0226279841328,1764851844.599585,1764851844.6543252,1764851844.664,1764851844.674886,04-12-2025T13:37:24
test,r1,718.6767400225757,1764851849.5681732,1764851849.6213765,1764851849.669,1764851849.6800208,04-12-2025T13:37:29
test,r1,718.7611936206721,1764851854.5897963,1764851854.6542172,1764851854.673,1764851854.6842847,04-12-2025T13:37:34
test,r1,718.4868928106785,1764851859.5887322,1764851859.6498473,1764851859.678,1764851859.6888418,04-12-2025T13:37:39
