router_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
r1,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
r2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
r3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
r4,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
r5,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
r6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
r7,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
r8,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
r9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
rg,0.09668128919420933,-0.18515652813150302,-0.17123400453491058,-0.15712392866713884,-0.11628981029974382,-0.08670713308252409,-0.11074315599386825,-0.12146130430092136,-0.13208148926687271,-0.1653802551495087,-0.20049347282680088,-0.18629277204505815,-0.19705174304731599,-0.17914304288427635,-0.2016868216046689,-0.18872291009405318,-0.18880735261060544,-0.18535507972487786,-0.20521530396391666,-0.21460471166515802,-0.20772468660877158,-0.22472620471821275,-0.23898516493014924,-0.22688776174686134
ru,0.10436664684309635,-0.02166480522155187,0.003302075675233639,-0.03368834896541131,-0.0428629326250663,0.03162193756373113,0.024012285941879374,0.03387069290865509,0.027035896158847904,0.0442636150514077,-0.015160757932326805,-0.01210890792649055,-0.005647264263779378,0.02343608086000786,0.0014375037109732557,-0.0030734566482068636,0.014530057214133191,0.013330431804253308,0.00041198848154744256,0.0028131122824760772,-0.01458476135187292,0.06606546058154904,-0.06607873209102597,-0.03582223210121761
